P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,C,C2,C3,CN,CO,CO2,C(gr)
562.341,2.725000e+03,1.747920e-01,1.586390e+00,6.738650e-08,3.288790e-09,1.277080e-07,6.529710e-01,3.786840e-12,5.039400e-09,2.057210e-09,2.177170e-08,2.093390e-05,3.468620e-01,1.461180e-04,1.000000e+00
562.341,2.750000e+03,1.747980e-01,1.619450e+00,8.176050e-08,3.832920e-09,1.392860e-07,6.529620e-01,4.186980e-12,6.709120e-09,2.853820e-09,3.005310e-08,2.486680e-05,3.468750e-01,1.376500e-04,1.000000e+00
562.341,2.775000e+03,1.748040e-01,1.652520e+00,9.885800e-08,4.455210e-09,1.516870e-07,6.529530e-01,4.621820e-12,8.885720e-09,3.935190e-09,4.123540e-08,2.944600e-05,3.468880e-01,1.298290e-04,1.000000e+00
562.341,2.800000e+03,1.748110e-01,1.685620e+00,1.191290e-07,5.165120e-09,1.649540e-07,6.529440e-01,5.093690e-12,1.170900e-08,5.394650e-09,5.624760e-08,3.476220e-05,3.468990e-01,1.225970e-04,1.000000e+00
562.341,2.825000e+03,1.748170e-01,1.718750e+00,1.430870e-07,5.973070e-09,1.791290e-07,6.529340e-01,5.605030e-12,1.535350e-08,7.353400e-09,7.628870e-08,4.091630e-05,3.469090e-01,1.159000e-04,1.000000e+00
562.341,2.850000e+03,1.748240e-01,1.751910e+00,1.713150e-07,6.890450e-09,1.942550e-07,6.529240e-01,6.158380e-12,2.003590e-08,9.967970e-09,1.028980e-07,4.802070e-05,3.469180e-01,1.096900e-04,1.000000e+00
562.341,2.875000e+03,1.748310e-01,1.785100e+00,2.044750e-07,7.929720e-09,2.103780e-07,6.529140e-01,6.756380e-12,2.602440e-08,1.343940e-08,1.380390e-07,5.620020e-05,3.469260e-01,1.039260e-04,1.000000e+00
562.341,2.900000e+03,1.748380e-01,1.818330e+00,2.433150e-07,9.104500e-09,2.275410e-07,6.529020e-01,7.401820e-12,3.364920e-08,1.802490e-08,1.842100e-07,6.559260e-05,3.469330e-01,9.856920e-05,1.000000e+00
562.341,2.925000e+03,1.748460e-01,1.851590e+00,2.886800e-07,1.042960e-08,2.457930e-07,6.528900e-01,8.097560e-12,4.331540e-08,2.405130e-08,2.445670e-07,7.635050e-05,3.469390e-01,9.358410e-05,1.000000e+00
562.341,2.950000e+03,1.748550e-01,1.884900e+00,3.415180e-07,1.192110e-08,2.651800e-07,6.528770e-01,8.846620e-12,5.551790e-08,3.193290e-08,3.230810e-07,8.864170e-05,3.469450e-01,8.894000e-05,1.000000e+00
562.341,2.975000e+03,1.748640e-01,1.918240e+00,4.028960e-07,1.359640e-08,2.857510e-07,6.528620e-01,9.652110e-12,7.085870e-08,4.219160e-08,4.247300e-07,1.026510e-04,3.469490e-01,8.460870e-05,1.000000e+00
562.341,3.000000e+03,1.748750e-01,1.951630e+00,4.740070e-07,1.547460e-08,3.075560e-07,6.528460e-01,1.051730e-11,9.006780e-08,5.548230e-08,5.557160e-07,1.185800e-04,3.469530e-01,8.056480e-05,1.000000e+00
562.341,3.025000e+03,1.748860e-01,1.985080e+00,5.561820e-07,1.757610e-08,3.306440e-07,6.528290e-01,1.144540e-11,1.140260e-07,7.262310e-08,7.237440e-07,1.366510e-04,3.469560e-01,7.678500e-05,1.000000e+00
562.341,3.050000e+03,1.748980e-01,2.018570e+00,6.509080e-07,1.992300e-08,3.550670e-07,6.528090e-01,1.244010e-11,1.437950e-07,9.463180e-08,9.383370e-07,1.571070e-04,3.469580e-01,7.324850e-05,1.000000e+00
562.341,3.075000e+03,1.749120e-01,2.052130e+00,7.598350e-07,2.253910e-08,3.808760e-07,6.527880e-01,1.350500e-11,1.806460e-07,1.227690e-07,1.211220e-06,1.802100e-04,3.469600e-01,6.993620e-05,1.000000e+00
562.341,3.100000e+03,1.749270e-01,2.085750e+00,8.847960e-07,2.545010e-08,4.081250e-07,6.527640e-01,1.464360e-11,2.260980e-07,1.585910e-07,1.556770e-06,2.062490e-04,3.469600e-01,6.683080e-05,1.000000e+00
562.341,3.125000e+03,1.749440e-01,2.119450e+00,1.027820e-06,2.868340e-08,4.368670e-07,6.527370e-01,1.586000e-11,2.819610e-07,2.040080e-07,1.992550e-06,2.355350e-04,3.469590e-01,6.391660e-05,1.000000e+00
562.341,3.150000e+03,1.749630e-01,2.153220e+00,1.191140e-06,3.226880e-08,4.671560e-07,6.527080e-01,1.715820e-11,3.503820e-07,2.613620e-07,2.539920e-06,2.684070e-04,3.469580e-01,6.117910e-05,1.000000e+00
562.341,3.175000e+03,1.749840e-01,2.187070e+00,1.377230e-06,3.623770e-08,4.990470e-07,6.526750e-01,1.854210e-11,4.339030e-07,3.335060e-07,3.224770e-06,3.052310e-04,3.469560e-01,5.860540e-05,1.000000e+00
562.341,3.200000e+03,1.750080e-01,2.221020e+00,1.588820e-06,4.062420e-08,5.325960e-07,6.526380e-01,2.001620e-11,5.355210e-07,4.239100e-07,4.078400e-06,3.464020e-04,3.469520e-01,5.618330e-05,1.000000e+00
562.341,3.225000e+03,1.750340e-01,2.255070e+00,1.828880e-06,4.546430e-08,5.678590e-07,6.525980e-01,2.158470e-11,6.587600e-07,5.367740e-07,5.138440e-06,3.923460e-04,3.469470e-01,5.390190e-05,1.000000e+00
562.341,3.250000e+03,1.750630e-01,2.289230e+00,2.100690e-06,5.079680e-08,6.048920e-07,6.525530e-01,2.325230e-11,8.077520e-07,6.771650e-07,6.450030e-06,4.435240e-04,3.469410e-01,5.175120e-05,1.000000e+00
562.341,3.275000e+03,1.750950e-01,2.323510e+00,2.407830e-06,5.666260e-08,6.437540e-07,6.525030e-01,2.502340e-11,9.873280e-07,8.511800e-07,8.067130e-06,5.004280e-04,3.469340e-01,4.972190e-05,1.000000e+00
562.341,3.300000e+03,1.751310e-01,2.357920e+00,2.754210e-06,6.310570e-08,6.845010e-07,6.524480e-01,2.690300e-11,1.203120e-06,1.066120e-06,1.005400e-05,5.635890e-04,3.469250e-01,4.780570e-05,1.000000e+00
562.341,3.325000e+03,1.751710e-01,2.392480e+00,3.144090e-06,7.017230e-08,7.271920e-07,6.523860e-01,2.889600e-11,1.461670e-06,1.330720e-06,1.248710e-05,6.335740e-04,3.469150e-01,4.599460e-05,1.000000e+00
562.341,3.350000e+03,1.752160e-01,2.427200e+00,3.582120e-06,7.791210e-08,7.718850e-07,6.523180e-01,3.100720e-11,1.770570e-06,1.655370e-06,1.545650e-05,7.109910e-04,3.469030e-01,4.428160e-05,1.000000e+00
562.341,3.375000e+03,1.752660e-01,2.462090e+00,4.073350e-06,8.637710e-08,8.186390e-07,6.522430e-01,3.324210e-11,2.138600e-06,2.052410e-06,1.906920e-05,7.964880e-04,3.468890e-01,4.266010e-05,1.000000e+00
562.341,3.400000e+03,1.753220e-01,2.497170e+00,4.623240e-06,9.562270e-08,8.675130e-07,6.521610e-01,3.560570e-11,2.575870e-06,2.536450e-06,2.345030e-05,8.907580e-04,3.468730e-01,4.112400e-05,1.000000e+00
562.341,3.425000e+03,1.753840e-01,2.532460e+00,5.237710e-06,1.057080e-07,9.185660e-07,6.520690e-01,3.810360e-11,3.094030e-06,3.124720e-06,2.874720e-05,9.945380e-04,3.468550e-01,3.966770e-05,1.000000e+00
562.341,3.450000e+03,1.754530e-01,2.567980e+00,5.923190e-06,1.166940e-07,9.718570e-07,6.519680e-01,4.074130e-11,3.706440e-06,3.837530e-06,3.513210e-05,1.108610e-03,3.468350e-01,3.828590e-05,1.000000e+00
562.341,3.475000e+03,1.755290e-01,2.603750e+00,6.686580e-06,1.286460e-07,1.027440e-06,6.518570e-01,4.352440e-11,4.428410e-06,4.698670e-06,4.280560e-05,1.233810e-03,3.468120e-01,3.697400e-05,1.000000e+00
562.341,3.500000e+03,1.756140e-01,2.639800e+00,7.535340e-06,1.416330e-07,1.085390e-06,6.517350e-01,4.645880e-11,5.277390e-06,5.736010e-06,5.200160e-05,1.371020e-03,3.467860e-01,3.572750e-05,1.000000e+00
562.341,3.525000e+03,1.757090e-01,2.676150e+00,8.477500e-06,1.557270e-07,1.145750e-06,6.516010e-01,4.955030e-11,6.273320e-06,6.982060e-06,6.299110e-05,1.521180e-03,3.467570e-01,3.454230e-05,1.000000e+00
562.341,3.550000e+03,1.758140e-01,2.712820e+00,9.521700e-06,1.710040e-07,1.208580e-06,6.514530e-01,5.280490e-11,7.438820e-06,8.474700e-06,7.608770e-05,1.685270e-03,3.467250e-01,3.341450e-05,1.000000e+00
562.341,3.575000e+03,1.759310e-01,2.749870e+00,1.067720e-05,1.875450e-07,1.273930e-06,6.512920e-01,5.622870e-11,8.799590e-06,1.025790e-05,9.165370e-05,1.864350e-03,3.466890e-01,3.234070e-05,1.000000e+00
562.341,3.600000e+03,1.760610e-01,2.787310e+00,1.195390e-05,2.054320e-07,1.341880e-06,6.511140e-01,5.982790e-11,1.038470e-05,1.238240e-05,1.101060e-04,2.059510e-03,3.466490e-01,3.131740e-05,1.000000e+00
562.341,3.625000e+03,1.762050e-01,2.825180e+00,1.336240e-05,2.247530e-07,1.412470e-06,6.509200e-01,6.360880e-11,1.222700e-05,1.490730e-05,1.319240e-04,2.271910e-03,3.466040e-01,3.034180e-05,1.000000e+00
