P_atm,Tw[K],B'c,hw[MJ/kg],N,O,NO,N2,O2,Si,SiO,SiO2,Si2,SiN,SiO2(a-qz),SiO2(b-qz),SiO2(b-crt),SiO2(L)
0.001,2.325000e+03,2.000000e+02,4.515740e-01,1.103810e-07,9.099500e-02,1.391630e-03,4.658340e-03,2.520680e-01,3.774370e-08,5.937550e-01,5.713190e-02,7.984180e-17,3.453110e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.350000e+03,2.000000e+02,5.984840e-01,1.426740e-07,1.034910e-01,1.434200e-03,4.584210e-03,2.460250e-01,5.191430e-08,5.942360e-01,5.022920e-02,1.261310e-16,4.606620e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.375000e+03,2.000000e+02,7.509180e-01,1.833920e-07,1.170800e-01,1.472990e-03,4.511100e-03,2.389970e-01,7.101270e-08,5.938350e-01,4.410290e-02,1.978170e-16,6.114530e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.400000e+03,2.000000e+02,9.095220e-01,2.344690e-07,1.317500e-01,1.507510e-03,4.439070e-03,2.310210e-01,9.664430e-08,5.926140e-01,3.866920e-02,3.082260e-16,8.078520e-12,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.425000e+03,2.000000e+02,1.074770e+00,2.982190e-07,1.474620e-01,1.537280e-03,4.368260e-03,2.221450e-01,1.309150e-07,5.906340e-01,3.385330e-02,4.774790e-16,1.062850e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.450000e+03,2.000000e+02,1.246930e+00,3.774070e-07,1.641520e-01,1.561860e-03,4.298860e-03,2.124370e-01,1.765880e-07,5.879610e-01,2.958870e-02,7.359390e-16,1.393060e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.475000e+03,2.000000e+02,1.426020e+00,4.753280e-07,1.817290e-01,1.580860e-03,4.231170e-03,2.019760e-01,2.372870e-07,5.846660e-01,2.581600e-02,1.129430e-15,1.819810e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.500000e+03,2.000000e+02,1.611790e+00,5.958940e-07,2.000700e-01,1.593950e-03,4.165540e-03,1.908630e-01,3.177730e-07,5.808240e-01,2.248250e-02,1.727150e-15,2.370500e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.525000e+03,2.000000e+02,1.803700e+00,7.437430e-07,2.190240e-01,1.600900e-03,4.102370e-03,1.792140e-01,4.242990e-07,5.765170e-01,1.954150e-02,2.633840e-15,3.080440e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.001,2.550000e+03,2.000000e+02,2.000860e+00,9.243610e-07,2.384110e-01,1.601550e-03,4.042100e-03,1.671620e-01,5.650980e-07,5.718310e-01,1.695140e-02,4.008270e-15,3.995310e-11,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
