Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
1750,0.00180184,1.445520e-02,2.995260e+03,-9.334940e+05,1.255870e+00,1.790060e-04,5.343430e-05
1775,0.00180184,1.444830e-02,3.114730e+03,-8.571570e+05,1.247830e+00,1.764000e-04,5.397390e-05
1800,0.00180184,1.443990e-02,3.253750e+03,-7.775950e+05,1.239460e+00,1.738490e-04,5.451220e-05
1825,0.00180184,1.442990e-02,3.414850e+03,-6.942860e+05,1.230870e+00,1.713490e-04,5.504930e-05
1850,0.00180184,1.441790e-02,3.600740e+03,-6.066460e+05,1.222210e+00,1.688940e-04,5.558510e-05
1875,0.00180184,1.440380e-02,3.814310e+03,-5.140180e+05,1.213600e+00,1.664780e-04,5.611980e-05
1900,0.00180184,1.438710e-02,4.058650e+03,-4.156740e+05,1.205190e+00,1.640980e-04,5.665340e-05
1925,0.00180184,1.436760e-02,4.337020e+03,-3.108020e+05,1.197110e+00,1.617470e-04,5.718580e-05
1950,0.00180184,1.434480e-02,4.652850e+03,-1.985100e+05,1.189460e+00,1.594200e-04,5.771730e-05
1975,0.00180184,1.431830e-02,5.009670e+03,-7.781810e+04,1.182370e+00,1.571110e-04,5.824760e-05
2000,0.00180184,1.428780e-02,5.411180e+03,5.234550e+04,1.175900e+00,1.548170e-04,5.877670e-05
2025,0.00180184,1.425270e-02,5.861100e+03,1.931440e+05,1.170120e+00,1.525300e-04,5.926400e-05
2050,0.00180184,1.421260e-02,6.363210e+03,3.458350e+05,1.165070e+00,1.502450e-04,5.974920e-05
2075,0.00180184,1.416690e-02,6.921280e+03,5.117710e+05,1.160790e+00,1.479580e-04,6.023220e-05
2100,0.00180184,1.411510e-02,7.538990e+03,6.923960e+05,1.157290e+00,1.456620e-04,6.071270e-05
2125,0.00180184,1.405670e-02,8.219850e+03,8.892470e+05,1.154580e+00,1.433530e-04,6.119060e-05
2150,0.00180184,1.399120e-02,8.967150e+03,1.103940e+06,1.152640e+00,1.410260e-04,6.166540e-05
2175,0.00180184,1.391820e-02,9.783840e+03,1.338180e+06,1.151460e+00,1.386770e-04,6.213670e-05
2200,0.00180184,1.383700e-02,1.067240e+04,1.593730e+06,1.151030e+00,1.363010e-04,6.260400e-05
2225,0.00180184,1.374720e-02,1.163490e+04,1.872420e+06,1.151310e+00,1.338960e-04,6.306670e-05
2250,0.00180184,1.364850e-02,1.267250e+04,2.176100e+06,1.152290e+00,1.314570e-04,6.352390e-05
2275,0.00180184,1.354050e-02,1.378590e+04,2.506680e+06,1.153920e+00,1.289840e-04,6.397490e-05
2300,0.00180184,1.342300e-02,1.497490e+04,2.866030e+06,1.156160e+00,1.264750e-04,6.441870e-05
