Tw_K,P_atm,M[kg/kmol],Cp[kJ/kg-K],h[kJ/kg],gamma[-],rho[kg/m3],mu[millipoise]
1900,0.00177828,1.091500e+01,5.932930e+00,4.972700e+03,1.186480e+00,1.244950e-04,5.307850e-01
1925,0.00177828,1.089810e+01,6.356780e+00,5.126200e+03,1.179590e+00,1.226880e-04,5.355680e-01
1950,0.00177828,1.087840e+01,6.839020e+00,5.291020e+03,1.173130e+00,1.208960e-04,5.403410e-01
1975,0.00177828,1.085550e+01,7.385760e+00,5.468690e+03,1.167210e+00,1.191140e-04,5.451030e-01
2000,0.00177828,1.082900e+01,8.003550e+00,5.660900e+03,1.161900e+00,1.173390e-04,5.498540e-01
2025,0.00177828,1.079850e+01,8.699340e+00,5.869520e+03,1.157260e+00,1.155640e-04,5.544300e-01
2050,0.00177828,1.076360e+01,9.480540e+00,6.096580e+03,1.153320e+00,1.137850e-04,5.589890e-01
2075,0.00177828,1.072380e+01,1.035510e+01,6.344320e+03,1.150120e+00,1.119990e-04,5.635300e-01
2100,0.00177828,1.067860e+01,1.133130e+01,6.615180e+03,1.147670e+00,1.101990e-04,5.680490e-01
2125,0.00177828,1.062740e+01,1.241830e+01,6.911810e+03,1.146000e+00,1.083810e-04,5.725420e-01
2150,0.00177828,1.056990e+01,1.362580e+01,7.237100e+03,1.145100e+00,1.065400e-04,5.770040e-01
2175,0.00177828,1.050540e+01,1.496410e+01,7.594190e+03,1.144980e+00,1.046730e-04,5.814260e-01
2200,0.00177828,1.043340e+01,1.644450e+01,7.986490e+03,1.145630e+00,1.027740e-04,5.858000e-01
2225,0.00177828,1.035340e+01,1.807930e+01,8.417700e+03,1.147050e+00,1.008400e-04,5.901110e-01
2250,0.00177828,1.026490e+01,1.988180e+01,8.891850e+03,1.149250e+00,9.886750e-05,5.943470e-01
2275,0.00177828,1.016740e+01,2.186590e+01,9.413300e+03,1.152210e+00,9.685210e-05,5.984880e-01
2300,0.00177828,1.006040e+01,2.404580e+01,9.986780e+03,1.155950e+00,9.479130e-05,6.025140e-01
2325,0.00177828,9.943510e+00,2.643490e+01,1.061730e+04,1.160450e+00,9.268270e-05,6.064000e-01
2350,0.00177828,9.816440e+00,2.904340e+01,1.131040e+04,1.165720e+00,9.052490e-05,6.101200e-01
2375,0.00177828,9.678940e+00,3.187440e+01,1.207140e+04,1.171730e+00,8.831740e-05,6.136450e-01
2400,0.00177828,9.530980e+00,3.491880e+01,1.290590e+04,1.178430e+00,8.606130e-05,6.169450e-01
2425,0.00177828,9.372730e+00,3.814800e+01,1.381890e+04,1.185730e+00,8.375990e-05,6.199900e-01
2450,0.00177828,9.204720e+00,4.150630e+01,1.481430e+04,1.193490e+00,8.141910e-05,6.227520e-01
2475,0.00177828,9.027870e+00,4.490610e+01,1.589450e+04,1.201470e+00,7.904820e-05,6.252070e-01
2500,0.00177828,8.843590e+00,4.822740e+01,1.705900e+04,1.209400e+00,7.666030e-05,6.273350e-01
2525,0.00177828,8.653780e+00,5.132520e+01,1.830400e+04,1.216930e+00,7.427230e-05,6.291230e-01
