Tw_K,P_bar,M[kg/kmol],Cp[kJ/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[millipoise]
1450,0.00180184,1.262030e+01,3.350610e+00,4.214120e+06,1.251610e+00,1.886180e-04,4.554730e-01
1475,0.00180184,1.261820e+01,3.330830e+00,4.297580e+06,1.251920e+00,1.853900e-04,4.606740e-01
1500,0.00180184,1.261640e+01,3.333250e+00,4.380850e+06,1.251000e+00,1.822750e-04,4.658490e-01
1525,0.00180184,1.261490e+01,3.349270e+00,4.464360e+06,1.249350e+00,1.792650e-04,4.710000e-01
1550,0.00180184,1.261340e+01,3.375590e+00,4.548400e+06,1.247170e+00,1.763530e-04,4.761270e-01
1575,0.00180184,1.261180e+01,3.411180e+00,4.633210e+06,1.244540e+00,1.735310e-04,4.812310e-01
1600,0.00180184,1.261000e+01,3.456150e+00,4.719030e+06,1.241480e+00,1.707950e-04,4.863130e-01
1625,0.00180184,1.260790e+01,3.511220e+00,4.806100e+06,1.238000e+00,1.681390e-04,4.913740e-01
1650,0.00180184,1.260530e+01,3.577600e+00,4.894690e+06,1.234090e+00,1.655590e-04,4.964140e-01
1675,0.00180184,1.260230e+01,3.656810e+00,4.985090e+06,1.229760e+00,1.630480e-04,5.014340e-01
1700,0.00180184,1.259850e+01,3.750680e+00,5.077650e+06,1.225020e+00,1.606030e-04,5.064360e-01
1725,0.00180184,1.259400e+01,3.861340e+00,5.172760e+06,1.219880e+00,1.582180e-04,5.114190e-01
1750,0.00180184,1.258850e+01,3.991210e+00,5.270880e+06,1.214370e+00,1.558900e-04,5.163840e-01
1775,0.00180184,1.258190e+01,4.143000e+00,5.372510e+06,1.208560e+00,1.536140e-04,5.213320e-01
1800,0.00180184,1.257400e+01,4.319700e+00,5.478240e+06,1.202500e+00,1.513850e-04,5.262640e-01
1825,0.00180184,1.256450e+01,4.524650e+00,5.588730e+06,1.196270e+00,1.491980e-04,5.311790e-01
