Bg,P_atm,Tw[K],B'c,hw[MJ/kg],C,H,O,N,CH4,CN,CO,CO2,C2,C2H,"C2H2,acetylene",C3,C4,"C4H2,butadiyne",C5,HCN,H2,H2O,N2,CH2OH,CNN,CNC,CNCOCN,C6H6,"C6H5OH,phenol",HNC,C(gr)
1.0,0.001,1.375000e+03,0.000000e+00,1.309510e-01,9.136170e-17,7.595040e-05,2.541190e-16,2.795220e-14,1.207580e-06,6.497430e-11,2.836080e-01,1.791890e-07,3.417770e-19,1.091660e-13,8.742740e-07,4.298930e-18,2.645400e-25,5.833370e-13,3.674560e-25,1.591620e-04,4.903320e-01,6.408390e-07,2.258210e-01,4.216390e-18,2.052340e-23,1.043260e-18,5.874600e-23,2.270150e-20,1.211720e-28,1.454290e-06,1.000000e+00
1.0,0.001,1.400000e+03,0.000000e+00,1.863020e-01,2.807600e-16,1.078120e-04,4.517480e-16,5.897870e-14,1.048370e-06,1.283790e-10,2.836040e-01,1.381530e-07,1.250880e-18,2.634040e-13,1.238620e-06,1.574800e-17,1.384790e-24,1.174580e-12,1.959890e-24,1.950660e-04,4.902900e-01,5.186770e-07,2.257990e-01,4.819890e-18,5.557260e-23,3.049990e-18,1.040980e-22,2.498210e-20,1.215900e-28,1.965580e-06,1.000000e+00
1.0,0.001,1.425000e+03,0.000000e+00,2.420460e-01,8.293820e-16,1.511960e-04,7.873010e-16,1.212410e-13,9.146510e-07,2.476130e-10,2.835980e-01,1.075370e-07,4.372800e-18,6.161040e-13,1.733170e-06,5.508260e-17,6.837570e-24,2.307110e-12,9.852190e-24,2.373430e-04,4.902350e-01,4.229630e-07,2.257720e-01,5.484160e-18,1.453150e-22,8.585810e-18,1.808350e-22,2.739780e-20,1.220280e-28,2.628380e-06,1.000000e+00
1.0,0.001,1.450000e+03,0.000000e+00,2.982430e-01,2.359970e-15,2.096120e-04,1.346520e-15,2.431420e-13,8.017310e-07,4.667890e-10,2.835900e-01,8.446630e-08,1.463530e-17,1.399200e-12,2.396790e-06,1.844040e-16,3.194210e-23,4.426230e-12,4.682110e-23,2.868050e-04,4.901660e-01,3.473720e-07,2.257410e-01,6.212420e-18,3.676020e-22,2.331780e-17,3.082800e-22,2.994940e-20,1.224840e-28,3.479180e-06,1.000000e+00
1.0,0.001,1.475000e+03,0.000000e+00,3.549630e-01,6.480650e-15,2.874400e-04,2.262170e-15,4.762920e-13,7.058770e-07,8.610730e-10,2.835790e-01,6.691650e-08,4.700100e-17,3.089960e-12,3.277650e-06,5.921920e-16,1.415770e-22,8.304120e-12,2.109600e-22,3.443170e-04,4.900780e-01,2.872190e-07,2.257020e-01,7.007790e-18,9.011360e-22,6.120810e-17,5.162200e-22,3.263710e-20,1.229540e-28,4.561230e-06,1.000000e+00
1.0,0.001,1.500000e+03,0.000000e+00,4.122950e-01,1.720530e-14,3.900880e-04,3.736480e-15,9.124180e-13,6.241010e-07,1.555980e-09,2.835640e-01,5.344620e-08,1.451350e-16,6.644720e-12,4.434870e-06,1.828090e-15,5.969470e-22,1.525210e-11,9.035740e-22,4.108030e-04,4.899670e-01,2.390050e-07,2.256570e-01,7.873270e-18,2.144010e-21,1.555540e-16,8.498390e-22,3.546010e-20,1.234330e-28,5.925270e-06,1.000000e+00
1.0,0.001,1.525000e+03,0.000000e+00,4.703450e-01,4.423440e-14,5.241830e-04,6.072710e-15,1.711180e-12,5.540000e-07,2.757090e-09,2.835450e-01,4.301840e-08,4.317550e-16,1.393220e-11,5.940290e-06,5.435250e-15,2.400250e-21,2.745310e-11,3.688220e-21,4.872370e-04,4.898260e-01,2.000940e-07,2.256030e-01,8.811680e-18,4.958160e-21,3.833460e-16,1.376590e-21,3.841720e-20,1.239150e-28,7.630400e-06,1.000000e+00
1.0,0.001,1.550000e+03,0.000000e+00,5.292440e-01,1.103020e-13,6.977660e-04,9.718970e-15,3.145020e-12,4.936290e-07,4.795050e-09,2.835210e-01,3.488010e-08,1.239620e-15,2.851740e-11,7.880400e-06,1.559270e-14,9.224830e-21,4.847260e-11,1.438040e-20,5.746410e-04,4.896510e-01,1.684840e-07,2.255380e-01,9.825640e-18,1.116000e-20,9.174540e-16,2.195710e-21,4.150580e-20,1.243950e-28,9.744920e-06,1.000000e+00
1.0,0.001,1.575000e+03,0.000000e+00,5.891440e-01,2.671580e-13,9.205150e-04,1.532820e-14,5.670090e-12,4.414040e-07,8.192470e-09,2.834890e-01,2.847930e-08,3.440780e-15,5.704810e-11,1.035850e-05,4.323580e-14,3.396060e-20,8.402990e-11,5.367510e-20,6.740870e-04,4.894310e-01,1.426440e-07,2.254620e-01,1.091750e-17,2.448000e-20,2.135330e-15,3.451060e-21,4.472230e-20,1.248640e-28,1.234710e-05,1.000000e+00
1.0,0.001,1.600000e+03,0.000000e+00,6.502300e-01,6.293650e-13,1.203990e-03,2.383890e-14,1.003650e-11,3.960290e-07,1.376190e-08,2.834490e-01,2.340770e-08,9.247770e-15,1.116550e-10,1.349670e-05,1.160600e-13,1.200010e-19,1.431430e-10,1.921830e-19,7.866830e-04,4.891590e-01,1.213920e-07,2.253720e-01,1.208930e-17,5.239380e-20,4.839450e-15,5.348490e-21,4.806160e-20,1.253130e-28,1.552620e-05,1.000000e+00
