Tw_K,P_bar,M[kg/mol],Cp[J/kg-K],h[J/kg],gamma[-],rho[kg/m3],mu[Pa-s]
1600,0.00180184,1.099320e-02,3.687010e+03,3.628040e+06,1.264630e+00,1.488980e-04,4.723560e-05
1625,0.00180184,1.099130e-02,3.752220e+03,3.721000e+06,1.260270e+00,1.465820e-04,4.773120e-05
1650,0.00180184,1.098900e-02,3.830830e+03,3.815760e+06,1.255380e+00,1.443300e-04,4.822500e-05
1675,0.00180184,1.098630e-02,3.924720e+03,3.912670e+06,1.249970e+00,1.421400e-04,4.871710e-05
1700,0.00180184,1.098290e-02,4.036120e+03,4.012140e+06,1.244040e+00,1.400070e-04,4.920750e-05
1725,0.00180184,1.097880e-02,4.167580e+03,4.114640e+06,1.237650e+00,1.379260e-04,4.969620e-05
1750,0.00180184,1.097380e-02,4.321970e+03,4.220710e+06,1.230840e+00,1.358940e-04,5.018350e-05
1775,0.00180184,1.096780e-02,4.502480e+03,4.330960e+06,1.223680e+00,1.339070e-04,5.066920e-05
1800,0.00180184,1.096050e-02,4.712660e+03,4.446080e+06,1.216280e+00,1.319600e-04,5.115360e-05
1825,0.00180184,1.095190e-02,4.956380e+03,4.566870e+06,1.208740e+00,1.300490e-04,5.163660e-05
1850,0.00180184,1.094160e-02,5.237880e+03,4.694220e+06,1.201180e+00,1.281710e-04,5.211840e-05
1875,0.00180184,1.092940e-02,5.561750e+03,4.829120e+06,1.193720e+00,1.263210e-04,5.259900e-05
1900,0.00180184,1.091500e-02,5.932930e+03,4.972700e+06,1.186480e+00,1.244950e-04,5.307850e-05
1925,0.00180184,1.089810e-02,6.356780e+03,5.126200e+06,1.179590e+00,1.226880e-04,5.355680e-05
1950,0.00180184,1.087840e-02,6.839020e+03,5.291020e+06,1.173130e+00,1.208960e-04,5.403410e-05
1975,0.00180184,1.085550e-02,7.385760e+03,5.468690e+06,1.167210e+00,1.191140e-04,5.451030e-05
2000,0.00180184,1.082900e-02,8.003550e+03,5.660900e+06,1.161900e+00,1.173390e-04,5.498540e-05
2025,0.00180184,1.079850e-02,8.699340e+03,5.869520e+06,1.157260e+00,1.155640e-04,5.544300e-05
2050,0.00180184,1.076360e-02,9.480540e+03,6.096580e+06,1.153320e+00,1.137850e-04,5.589890e-05
2075,0.00180184,1.072380e-02,1.035510e+04,6.344320e+06,1.150120e+00,1.119990e-04,5.635300e-05
2100,0.00180184,1.067860e-02,1.133130e+04,6.615180e+06,1.147670e+00,1.101990e-04,5.680490e-05
2125,0.00180184,1.062740e-02,1.241830e+04,6.911810e+06,1.146000e+00,1.083810e-04,5.725420e-05
2150,0.00180184,1.056990e-02,1.362580e+04,7.237100e+06,1.145100e+00,1.065400e-04,5.770040e-05
2175,0.00180184,1.050540e-02,1.496410e+04,7.594190e+06,1.144980e+00,1.046730e-04,5.814260e-05
2200,0.00180184,1.043340e-02,1.644450e+04,7.986490e+06,1.145630e+00,1.027740e-04,5.858000e-05
2225,0.00180184,1.035340e-02,1.807930e+04,8.417700e+06,1.147050e+00,1.008400e-04,5.901110e-05
2250,0.00180184,1.026490e-02,1.988180e+04,8.891850e+06,1.149250e+00,9.886750e-05,5.943470e-05
2275,0.00180184,1.016740e-02,2.186590e+04,9.413300e+06,1.152210e+00,9.685210e-05,5.984880e-05
2300,0.00180184,1.006040e-02,2.404580e+04,9.986780e+06,1.155950e+00,9.479130e-05,6.025140e-05
2325,0.00180184,9.943510e-03,2.643490e+04,1.061730e+07,1.160450e+00,9.268270e-05,6.064000e-05
2350,0.00180184,9.816440e-03,2.904340e+04,1.131040e+07,1.165720e+00,9.052490e-05,6.101200e-05
