Tw_K,P_bar,Bc
1850,0.00320418,4.674260e-01
1875,0.00320418,4.680610e-01
1900,0.00320418,4.688800e-01
1925,0.00320418,4.699230e-01
1950,0.00320418,4.712270e-01
1975,0.00320418,4.728300e-01
2000,0.00320418,4.747670e-01
2025,0.00320418,4.770640e-01
2050,0.00320418,4.797400e-01
2075,0.00320418,4.828030e-01
2100,0.00320418,4.862520e-01
2125,0.00320418,4.900790e-01
2150,0.00320418,4.942720e-01
2175,0.00320418,4.988150e-01
2200,0.00320418,5.036950e-01
2225,0.00320418,5.088960e-01
2250,0.00320418,5.144000e-01
2275,0.00320418,5.201910e-01
2300,0.00320418,5.262470e-01
2325,0.00320418,5.325430e-01
2350,0.00320418,5.390510e-01
2375,0.00320418,5.457390e-01
2400,0.00320418,5.525720e-01
2425,0.00320418,5.595140e-01
2450,0.00320418,5.665280e-01
2475,0.00320418,5.735790e-01
2500,0.00320418,5.806350e-01
2525,0.00320418,5.876720e-01
2550,0.00320418,5.946740e-01
2575,0.00320418,6.016380e-01
2600,0.00320418,6.085730e-01
2625,0.00320418,6.155060e-01
2650,0.00320418,6.224830e-01
2675,0.00320418,6.295710e-01
2700,0.00320418,6.368620e-01
2725,0.00320418,6.444750e-01
2750,0.00320418,6.525590e-01
2775,0.00320418,6.612960e-01
2800,0.00320418,6.709050e-01
2825,0.00320418,6.816510e-01
2850,0.00320418,6.938450e-01
2875,0.00320418,7.078590e-01
2900,0.00320418,7.237410e-01
2925,0.00320418,7.400550e-01
2950,0.00320418,7.591430e-01
2975,0.00320418,7.816150e-01
3000,0.00320418,8.082020e-01
3025,0.00320418,8.397820e-01
3050,0.00320418,8.774190e-01
3075,0.00320418,9.224080e-01
3100,0.00320418,9.763480e-01
3125,0.00320418,1.041230e+00
3150,0.00320418,1.119570e+00
3175,0.00320418,1.214590e+00
3200,0.00320418,1.330490e+00
3225,0.00320418,1.472890e+00
3250,0.00320418,1.649430e+00
3275,0.00320418,1.870840e+00
3300,0.00320418,2.152680e+00
3325,0.00320418,2.518420e+00
3350,0.00320418,3.005240e+00
3375,0.00320418,3.675880e+00
3400,0.00320418,4.645070e+00
3425,0.00320418,6.147860e+00
3450,0.00320418,8.753300e+00
3475,0.00320418,1.428520e+01
3500,0.00320418,3.352460e+01
3525,0.00320418,2.000000e+02
3550,0.00320418,2.000000e+02
3575,0.00320418,2.000000e+02
3600,0.00320418,2.000000e+02
3625,0.00320418,2.000000e+02
3650,0.00320418,2.000000e+02
3675,0.00320418,2.000000e+02
3700,0.00320418,2.000000e+02
3725,0.00320418,2.000000e+02
3750,0.00320418,2.000000e+02
3775,0.00320418,2.000000e+02
3800,0.00320418,2.000000e+02
3825,0.00320418,2.000000e+02
3850,0.00320418,2.000000e+02
3875,0.00320418,2.000000e+02
3900,0.00320418,2.000000e+02
3925,0.00320418,2.000000e+02
3950,0.00320418,2.000000e+02
3975,0.00320418,2.000000e+02
4000,0.00320418,2.000000e+02
4025,0.00320418,2.000000e+02
4050,0.00320418,2.000000e+02
4075,0.00320418,2.000000e+02
4100,0.00320418,2.000000e+02
4125,0.00320418,2.000000e+02
4150,0.00320418,2.000000e+02
4175,0.00320418,2.000000e+02
4200,0.00320418,2.000000e+02
4225,0.00320418,2.000000e+02
4250,0.00320418,2.000000e+02
4275,0.00320418,2.000000e+02
4300,0.00320418,2.000000e+02
4325,0.00320418,2.000000e+02
4350,0.00320418,2.000000e+02
4375,0.00320418,2.000000e+02
4400,0.00320418,2.000000e+02
4425,0.00320418,2.000000e+02
4450,0.00320418,2.000000e+02
4475,0.00320418,2.000000e+02
4500,0.00320418,2.000000e+02
4525,0.00320418,2.000000e+02
4550,0.00320418,2.000000e+02
4575,0.00320418,2.000000e+02
4600,0.00320418,2.000000e+02
4625,0.00320418,2.000000e+02
4650,0.00320418,2.000000e+02
4675,0.00320418,2.000000e+02
4700,0.00320418,2.000000e+02
4725,0.00320418,2.000000e+02
4750,0.00320418,2.000000e+02
4775,0.00320418,2.000000e+02
4800,0.00320418,2.000000e+02
4825,0.00320418,2.000000e+02
4850,0.00320418,2.000000e+02
4875,0.00320418,2.000000e+02
4900,0.00320418,2.000000e+02
4925,0.00320418,2.000000e+02
4950,0.00320418,2.000000e+02
4975,0.00320418,2.000000e+02
5000,0.00320418,2.000000e+02
300,0.00569792,4.656580e-01
325,0.00569792,4.656580e-01
350,0.00569792,4.656580e-01
375,0.00569792,4.656580e-01
400,0.00569792,4.656580e-01
425,0.00569792,4.656580e-01
450,0.00569792,4.656580e-01
475,0.00569792,4.656580e-01
500,0.00569792,4.656580e-01
525,0.00569792,4.656580e-01
