Tw_K,P_bar,phi,f_air,Bg,Bc
1600,0.00320418,0.8,0,0,4.432560e-01
1625,0.00320418,0.8,0,0,4.432590e-01
1650,0.00320418,0.8,0,0,4.432620e-01
1675,0.00320418,0.8,0,0,4.432660e-01
1700,0.00320418,0.8,0,0,4.432710e-01
1725,0.00320418,0.8,0,0,4.432770e-01
1750,0.00320418,0.8,0,0,4.432840e-01
1775,0.00320418,0.8,0,0,4.432930e-01
1800,0.00320418,0.8,0,0,4.433030e-01
1825,0.00320418,0.8,0,0,4.433150e-01
1850,0.00320418,0.8,0,0,4.433300e-01
1875,0.00320418,0.8,0,0,4.433470e-01
1900,0.00320418,0.8,0,0,4.433670e-01
1925,0.00320418,0.8,0,0,4.433900e-01
1950,0.00320418,0.8,0,0,4.434170e-01
1975,0.00320418,0.8,0,0,4.434480e-01
2000,0.00320418,0.8,0,0,4.434830e-01
2025,0.00320418,0.8,0,0,4.435240e-01
2050,0.00320418,0.8,0,0,4.435700e-01
2075,0.00320418,0.8,0,0,4.436210e-01
2100,0.00320418,0.8,0,0,4.436790e-01
2125,0.00320418,0.8,0,0,4.437440e-01
2150,0.00320418,0.8,0,0,4.438150e-01
2175,0.00320418,0.8,0,0,4.438940e-01
2200,0.00320418,0.8,0,0,4.439810e-01
2225,0.00320418,0.8,0,0,4.440750e-01
2250,0.00320418,0.8,0,0,4.441790e-01
2275,0.00320418,0.8,0,0,4.442900e-01
2300,0.00320418,0.8,0,0,4.444120e-01
2325,0.00320418,0.8,0,0,4.445430e-01
2350,0.00320418,0.8,0,0,4.446850e-01
2375,0.00320418,0.8,0,0,4.448390e-01
2400,0.00320418,0.8,0,0,4.450090e-01
2425,0.00320418,0.8,0,0,4.451990e-01
2450,0.00320418,0.8,0,0,4.454140e-01
2475,0.00320418,0.8,0,0,4.456650e-01
2500,0.00320418,0.8,0,0,4.459640e-01
2525,0.00320418,0.8,0,0,4.463310e-01
2550,0.00320418,0.8,0,0,4.467950e-01
2575,0.00320418,0.8,0,0,4.473930e-01
2600,0.00320418,0.8,0,0,4.481810e-01
2625,0.00320418,0.8,0,0,4.492310e-01
2650,0.00320418,0.8,0,0,4.506450e-01
2675,0.00320418,0.8,0,0,4.525570e-01
2700,0.00320418,0.8,0,0,4.551490e-01
2725,0.00320418,0.8,0,0,4.586620e-01
2750,0.00320418,0.8,0,0,4.634170e-01
2775,0.00320418,0.8,0,0,4.698380e-01
2800,0.00320418,0.8,0,0,4.784850e-01
2825,0.00320418,0.8,0,0,4.901020e-01
2850,0.00320418,0.8,0,0,5.056780e-01
2875,0.00320418,0.8,0,0,5.265350e-01
2900,0.00320418,0.8,0,0,5.544570e-01
2925,0.00320418,0.8,0,0,5.918880e-01
2950,0.00320418,0.8,0,0,6.422360e-01
2975,0.00320418,0.8,0,0,7.103660e-01
3000,0.00320418,0.8,0,0,8.034560e-01
3025,0.00320418,0.8,0,0,9.325260e-01
3050,0.00320418,0.8,0,0,1.115420e+00
3075,0.00320418,0.8,0,0,1.383080e+00
3100,0.00320418,0.8,0,0,1.794460e+00
3125,0.00320418,0.8,0,0,2.477660e+00
3150,0.00320418,0.8,0,0,3.774400e+00
3175,0.00320418,0.8,0,0,7.005830e+00
3200,0.00320418,0.8,0,0,2.689150e+01
3225,0.00320418,0.8,0,0,2.000000e+02
3250,0.00320418,0.8,0,0,2.000000e+02
3275,0.00320418,0.8,0,0,2.000000e+02
3300,0.00320418,0.8,0,0,2.000000e+02
3325,0.00320418,0.8,0,0,2.000000e+02
3350,0.00320418,0.8,0,0,2.000000e+02
3375,0.00320418,0.8,0,0,2.000000e+02
3400,0.00320418,0.8,0,0,2.000000e+02
3425,0.00320418,0.8,0,0,2.000000e+02
3450,0.00320418,0.8,0,0,2.000000e+02
3475,0.00320418,0.8,0,0,2.000000e+02
3500,0.00320418,0.8,0,0,2.000000e+02
3525,0.00320418,0.8,0,0,2.000000e+02
3550,0.00320418,0.8,0,0,2.000000e+02
3575,0.00320418,0.8,0,0,2.000000e+02
3600,0.00320418,0.8,0,0,2.000000e+02
3625,0.00320418,0.8,0,0,2.000000e+02
3650,0.00320418,0.8,0,0,2.000000e+02
3675,0.00320418,0.8,0,0,2.000000e+02
3700,0.00320418,0.8,0,0,2.000000e+02
